Protein IDs	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity corrected 10	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity 10
Q15323;CON__A2A5Y0;CON__Q15323;CON__Q9UE12;CON__REFSEQ:XP_986630;Q14525;CON__Q14525;Q14532;O76014;CON__Q497I4;CON__O76014;CON__Q9D646;O76009;CON__O76009;O76011;CON__Q6NTB9;CON__O76011;CON__Q8IUT8	1361.3	310.61	813.79	239.53	640.87	427.64	1308.3	76.51	283.87	1320.7	1361.3	310.61	813.79	239.53	640.87	427.64	1308.3	76.51	283.87	1320.7
CON__Q9TTE1;CON__A2I7N1;CON__A2I7N0	55.396	85.368	87.707	133.41	105.93	78.516	153.55	39.627	107.77	1055.3	55.396	85.368	87.707	133.41	105.93	78.516	153.55	39.627	107.77	1055.3
CON__REFSEQ:XP_001252647;CON__A2I7N3	141.67	87.416	103.08	123.1	115.1	243.6	266.83	65.654	174.4	1153	141.67	87.416	103.08	123.1	115.1	243.6	266.83	65.654	174.4	1153
CON__Q3MHN5;CON__ENSEMBL:ENSBTAP00000018229	59.697	71.363	81.596	278.42	98.478	138.71	302.19	158.95	89.573	4986.7	59.697	71.363	81.596	278.42	98.478	138.71	302.19	158.95	89.573	4986.7
CON__ENSEMBL:ENSBTAP00000024146;P01023	972.57	1276.5	1283.5	2073	1605	2054.8	4705.5	1211.4	1854.2	28589	972.57	1276.5	1283.5	2073	1605	2054.8	4705.5	1211.4	1854.2	28589
CON__ENSEMBL:ENSBTAP00000038329	95.025	141.15	91.711	239.01	118.37	196.02	402.77	125.7	102.24	3270.5	95.025	141.15	91.711	239.01	118.37	196.02	402.77	125.7	102.24	3270.5
CON__P00761;CON__P07477;P07477;Q9BYE2	77867	97929	129490	138120	87111	126990	97424	18892	229800	391780	77867	97929	129490	138120	87111	126990	97424	18892	229800	391780
CON__P02533;P02533;CON__Q6IFX2;CON__P19012;CON__A2A4G1;P19012;CON__P19001;CON__Q61782;CON__Q8N1A0;CON__P35900;CON__Q9D312;Q8N1A0;P35900	9103.1	10470	51009	23790	15031	125630	72548	7525.4	24418	61295	9103.1	10470	51009	23790	15031	125630	72548	7525.4	24418	61295
P02538;CON__P02538;CON__Q8VED5;P05787;CON__P05787;Q9NSB2;CON__Q9H552;CON__Q9NSB2;CON__Q6ISB0;CON__P08729;CON__Q3KNV1;CON__Q9DCV7;CON__H-INV:HIT000292931;P08729;CON__P19013;P19013;P14136;P08670;CON__REFSEQ:XP_932229	10914	10802	75422	26950	17975	153560	85212	9248	23617	68086	10914	10802	75422	26950	17975	153560	85212	9248	23617	68086
CON__P02768-1;P02768	192.2	130.92	262.34	239.99	890.17	342.48	514.63	63.628	390.93	939.88	192.2	130.92	262.34	239.99	890.17	342.48	514.63	63.628	390.93	939.88
CON__P02769	4856.1	6079.5	8652.8	99437	11853	16824	68355	8988.3	14424	225600	4856.1	6079.5	8652.8	99437	11853	16824	68355	8988.3	14424	225600
CON__P04259	251.07	255.64	875.91	342.4	320.88	1297.4	1105.3	65.762	411.54	1774.9	251.07	255.64	875.91	342.4	320.88	1297.4	1105.3	65.762	411.54	1774.9
CON__P06868	53.458	53.561	54.125	103.32	82.798	75.404	208.57	27.002	48.29	1077.7	53.458	53.561	54.125	103.32	82.798	75.404	208.57	27.002	48.29	1077.7
CON__P07744	730.01	3137.3	1307	2279.9	1061.5	11743	2436.6	766.11	1670.5	5122.1	730.01	3137.3	1307	2279.9	1061.5	11743	2436.6	766.11	1670.5	5122.1
CON__P08779;P08779;CON__Q9Z2K1;CON__Q3ZAW8	3090.7	2104.6	20692	8155.5	4333.5	55969	14238	3337.5	7081.9	20974	3090.7	2104.6	20692	8155.5	4333.5	55969	14238	3337.5	7081.9	20974
CON__P12763	757.67	800.86	1042.6	1145.8	1203.7	1378	3621.8	1681	1437.2	39052	757.67	800.86	1042.6	1145.8	1203.7	1378	3621.8	1681	1437.2	39052
P13645;CON__P13645;CON__P02535-1;Q7Z3Y7;CON__Q7Z3Y7;CON__Q148H6;CON__Q2M2I5;CON__Q99456;CON__Q7Z3Y8;CON__P05784;Q7Z3Y8;Q99456;Q2M2I5;O76013;Q7Z3Y9;CON__A2AB72;CON__O76015;CON__O76013;O76015;CON__Q92764;CON__Q7Z3Y9;Q92764;P05783;CON__Q14532	24827	18995	61582	54116	65415	86948	724910	10536	106770	142240	24827	18995	61582	54116	65415	86948	724910	10536	106770	142240
CON__P13647;P13647	4454.5	4303.8	19953	11302	9069.5	53643	82499	3491	15028	38610	4454.5	4303.8	19953	11302	9069.5	53643	82499	3491	15028	38610
CON__P15497	364.78	433.93	451.85	801.52	534.58	912.79	1622.4	322.96	736.26	12766	364.78	433.93	451.85	801.52	534.58	912.79	1622.4	322.96	736.26	12766
CON__P20930;P20930	1436.7	3247.6	2881.7	1899.6	2952.5	1986	7314.8	270.66	1594.7	4149.7	1436.7	3247.6	2881.7	1899.6	2952.5	1986	7314.8	270.66	1594.7	4149.7
