Protein IDs	Reporter intensity corrected 1 PNNL SC boost0ng_run2	Reporter intensity corrected 2 PNNL SC boost0ng_run2	Reporter intensity corrected 3 PNNL SC boost0ng_run2	Reporter intensity corrected 4 PNNL SC boost0ng_run2	Reporter intensity corrected 5 PNNL SC boost0ng_run2	Reporter intensity corrected 6 PNNL SC boost0ng_run2	Reporter intensity corrected 7 PNNL SC boost0ng_run2	Reporter intensity corrected 8 PNNL SC boost0ng_run2	Reporter intensity corrected 9 PNNL SC boost0ng_run2	Reporter intensity corrected 10 PNNL SC boost0ng_run2	Reporter intensity 1 PNNL SC boost0ng_run2	Reporter intensity 2 PNNL SC boost0ng_run2	Reporter intensity 3 PNNL SC boost0ng_run2	Reporter intensity 4 PNNL SC boost0ng_run2	Reporter intensity 5 PNNL SC boost0ng_run2	Reporter intensity 6 PNNL SC boost0ng_run2	Reporter intensity 7 PNNL SC boost0ng_run2	Reporter intensity 8 PNNL SC boost0ng_run2	Reporter intensity 9 PNNL SC boost0ng_run2	Reporter intensity 10 PNNL SC boost0ng_run2
A0A1B0GUS4;P68036	480.82	0	770.09	604.97	437.38	290.88	977.44	523.64	505.21	0	480.82	0	770.09	604.97	437.38	290.88	977.44	523.64	505.21	0
P0DMR1;O60812;B7ZW38;B2RXH8;P07910	2811.9	3493.3	3376.4	2700.1	2978	2533.9	4474.4	4095.6	3464.4	1928.9	2811.9	3493.3	3376.4	2700.1	2978	2533.9	4474.4	4095.6	3464.4	1928.9
Q99613;B5ME19	530.54	389.91	734.12	760.86	722.18	552.43	1245.7	831.4	1165.7	506.01	530.54	389.91	734.12	760.86	722.18	552.43	1245.7	831.4	1165.7	506.01
CON__ENSEMBL:ENSBTAP00000024146;P01023	3308.7	1895.6	3222.3	2899.4	3960	2711.6	6934	4239.7	4767.2	1185.5	3308.7	1895.6	3222.3	2899.4	3960	2711.6	6934	4239.7	4767.2	1185.5
CON__P00761;CON__P07477;P07477;Q9BYE2	1546500	1511800	1395700	1329800	1470800	1246200	1863900	1756900	1777700	126840	1546500	1511800	1395700	1329800	1470800	1246200	1863900	1756900	1777700	126840
CON__P02584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CON__P02769;CON__P02768-1;P02768	77199	85433	86945	80582	87318	72559	157910	136120	113430	17913	77199	85433	86945	80582	87318	72559	157910	136120	113430	17913
CON__P04264;P04264;CON__ENSEMBL:ENSBTAP00000038253;CON__Q9R0H5;CON__Q6NXH9;CON__Q8BGZ7;CON__P50446;CON__Q6IFZ6;CON__Q7Z794;CON__Q922U2;CON__Q5XQN5;Q7Z794	96746	30567	38515	33233	33276	31362	50310	36623	43614	3716.9	96746	30567	38515	33233	33276	31362	50310	36623	43614	3716.9
CON__P12763	8487.5	8187.2	8488.5	8727	10254	5802.2	14391	12019	10764	2587.2	8487.5	8187.2	8488.5	8727	10254	5802.2	14391	12019	10764	2587.2
CON__P13645;P13645	28193	6279.8	6090.1	4786.2	5625.2	2655.6	6737.8	5807.6	6853.9	2530.4	28193	6279.8	6090.1	4786.2	5625.2	2655.6	6737.8	5807.6	6853.9	2530.4
CON__P34955	19155	18260	21796	22031	16712	13016	33205	31343	26527	1337.5	19155	18260	21796	22031	16712	13016	33205	31343	26527	1337.5
CON__P35908v2;P35908;CON__P35908;CON__Q3TTY5	38652	1170.3	3701.2	3025	2086	1491.3	3362.1	2304.4	3328.9	332.01	38652	1170.3	3701.2	3025	2086	1491.3	3362.1	2304.4	3328.9	332.01
CON__Q3ZBD7;P06744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q13765;E9PAV3	1596.1	973.84	1815	1272.4	1254.6	710.95	2034.6	1673.7	1525.3	590.14	1596.1	973.84	1815	1272.4	1254.6	710.95	2034.6	1673.7	1525.3	590.14
O00148;Q13838	7445.1	4164.7	6212.9	5330	4966.9	4384.3	11506	6549	8268.1	2108.2	7445.1	4164.7	6212.9	5330	4966.9	4384.3	11506	6549	8268.1	2108.2
O00299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O14497	4905.6	4737.9	7196.2	8596.4	6515.9	5159.6	14867	19359	18931	13959	4905.6	4737.9	7196.2	8596.4	6515.9	5159.6	14867	19359	18931	13959
O14901	273560	3352.8	24495	3296.8	5129.9	3093.9	5787.9	6365.7	5144.9	1094.9	273560	3352.8	24495	3296.8	5129.9	3093.9	5787.9	6365.7	5144.9	1094.9
P19105;O14950;P24844	8050	4570.5	7764.4	13238	10810	10029	20090	38000	31860	4981.5	8050	4570.5	7764.4	13238	10810	10029	20090	38000	31860	4981.5
Q14103;O14979	10114	3884.8	8087.7	11438	15744	8994.6	11763	11135	10431	3079	10114	3884.8	8087.7	11438	15744	8994.6	11763	11135	10431	3079
O43707;P35609;Q08043	6374.3	3418.2	5338.8	6114.5	8246.8	5219.2	19526	10672	9292.2	2306.4	6374.3	3418.2	5338.8	6114.5	8246.8	5219.2	19526	10672	9292.2	2306.4
O43745	290000	3497	24538	5313.5	10409	11177	7433.3	6867	8984.8	380.04	290000	3497	24538	5313.5	10409	11177	7433.3	6867	8984.8	380.04
O43837	2138.6	12223	2295.8	4663.4	5133.8	3554.6	5218.5	2848.1	4424.7	631.7	2138.6	12223	2295.8	4663.4	5133.8	3554.6	5218.5	2848.1	4424.7	631.7
O76064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O94875	3354.6	6079.7	4475.9	7638	5841.9	3817	11580	15069	18084	3814.7	3354.6	6079.7	4475.9	7638	5841.9	3817	11580	15069	18084	3814.7
O94973;O95782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P07205;P00558	1590	766.75	1879.9	1823.2	2848.3	1218.2	2910	1875.2	2459.7	1819.9	1590	766.75	1879.9	1823.2	2848.3	1218.2	2910	1875.2	2459.7	1819.9
P02545	17905	12655	18210	10346	13154	10151	23021	13388	14488	7766.7	17905	12655	18210	10346	13154	10151	23021	13388	14488	7766.7
P02751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P04075	6587.1	4506.1	8753.1	6214.3	5050.8	3327.5	5747.1	5764.3	7777.3	3671.6	6587.1	4506.1	8753.1	6214.3	5050.8	3327.5	5747.1	5764.3	7777.3	3671.6
P04083	6349.2	6117.6	8110.9	11742	11707	11566	30371	24133	25056	4078.1	6349.2	6117.6	8110.9	11742	11707	11566	30371	24133	25056	4078.1
Q99878;Q96KK5;Q9BTM1;Q16777;Q93077;Q7L7L0;Q6FI13;P20671;P0C0S8;P04908;Q8IUE6;Q96QV6;P16104;REV__Q8NB25	306720	163760	321350	347660	377140	210630	238820	256280	254480	49902	306720	163760	321350	347660	377140	210630	238820	256280	254480	49902
P05141	2165.3	1380.2	1766.4	1417	1534.2	953.16	3683.7	2282.1	2086.5	2158.8	2165.3	1380.2	1766.4	1417	1534.2	953.16	3683.7	2282.1	2086.5	2158.8
P05387	7619.2	4293	9133.6	6135.7	5817.1	4240.4	9898	12503	13125	812.43	7619.2	4293	9133.6	6135.7	5817.1	4240.4	9898	12503	13125	812.43
Q8NHW5;P05388	9233.3	7675	10727	10535	9926.8	7035.1	16521	15217	17750	3827.3	9233.3	7675	10727	10535	9926.8	7035.1	16521	15217	17750	3827.3
P06576	4660.7	2949	5453.5	6211.3	10787	5207.8	12363	9378.7	9591.1	2246.9	4660.7	2949	5453.5	6211.3	10787	5207.8	12363	9378.7	9591.1	2246.9
P06703	2758.9	1914.1	3436.6	2080.9	3071.7	1496.6	4724.1	4886.6	5786.7	2185.8	2758.9	1914.1	3436.6	2080.9	3071.7	1496.6	4724.1	4886.6	5786.7	2185.8
P06733;P13929	10314	5337.2	8244.6	7994.1	7731.6	5877.9	8749.9	8110.2	7547.3	6512.9	10314	5337.2	8244.6	7994.1	7731.6	5877.9	8749.9	8110.2	7547.3	6512.9
P06748	14371	9641.7	15804	12813	13893	7202.2	21366	20537	23161	15521	14371	9641.7	15804	12813	13893	7202.2	21366	20537	23161	15521
P07237	8203.8	4908.3	7643.1	8450.1	7857.3	8215	17272	15176	19015	1132.9	8203.8	4908.3	7643.1	8450.1	7857.3	8215	17272	15176	19015	1132.9
P07355;A6NMY6	4873	4606.2	10997	5937.1	15252	6041.9	14740	7531.3	8402.6	2912.1	4873	4606.2	10997	5937.1	15252	6041.9	14740	7531.3	8402.6	2912.1
P07437;Q9BVA1;Q13885;Q13509	43573	26257	50364	51226	44642	31177	75233	77082	64210	14815	43573	26257	50364	51226	44642	31177	75233	77082	64210	14815
P07814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P07900;Q14568;Q58FF6	1099.3	667.57	1043.3	1431.2	830.66	970.1	1589.2	1242	2391.5	447.65	1099.3	667.57	1043.3	1431.2	830.66	970.1	1589.2	1242	2391.5	447.65
P08238;Q58FF8;Q58FF7	69939	84692	129880	78902	76376	41417	121950	122430	153530	80223	69939	84692	129880	78902	76376	41417	121950	122430	153530	80223
P08670;P41219;P17661;Q16352;P07196;P07197;P12036	95460	62007	86926	66402	57117	57018	214120	278340	205650	34440	95460	62007	86926	66402	57117	57018	214120	278340	205650	34440
P08708	5665	3139.4	6309.3	3888.4	6093.4	3085.7	6144	7279.2	5773.1	3468	5665	3139.4	6309.3	3888.4	6093.4	3085.7	6144	7279.2	5773.1	3468
P08758	13559	10160	12978	12136	9280.4	6607.1	13915	17944	14717	4309	13559	10160	12978	12136	9280.4	6607.1	13915	17944	14717	4309
P08865	4308.6	5172.1	5817.3	4630.9	7116.9	3819.4	14289	4902.6	5648	1007.8	4308.6	5172.1	5817.3	4630.9	7116.9	3819.4	14289	4902.6	5648	1007.8
P09104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P09382	21897	18084	18541	20995	27039	27910	43266	72509	56266	20379	21897	18084	18541	20995	27039	27910	43266	72509	56266	20379
